slug,famous,dod
F0697,Hisham ibn al-'Aas,634
F0698,Hubba bint 'Amrbin Hisn,
F0702,Humayma bint al-Humama bin al-Jamuh,
F0703,Humayna bint Sayfi b. Sakhr,
F0706,Hurayth bin Zayd,
F0709,Huzayla bint 'Utba ibn 'Amr,
F0710,Huzayla bint al-Harith,
F0711,Huzayla bint Mas'ud b. Zayd,
F0712,Huzayla bint Sa'id/Sa'd bin Suhayl,
F0713,Huzayla bint Thabit bin Tha'laba,
F0762,Ibrahim al-Dusuqi,1296
F0763,Ibrahim bin 'Abdur Rahman,
F0764,Ibrahim Haqqi Erzurumi,1780
F0769,Ikrima Mawla Ibn Abbas,723
F0775,Imam al-Juwayni,1085
F0780,Imran bin Husain,673
F0781,Imran ibn Husayn,673
F0783,Iqrab bint al-Sakan bin Rafi',
F0784,Iqrab bint Mua'dh,
F0785,Iqrab bint Salaama bin Waqash,
F0787,Isa bin al-Harith,
F0789,Ishaq al-Hashimy,
F0793,Itban bin Malik bin 'Amr,
F0794,Iyas bin al-Bukayr,
F0795,Iyyas bin 'Adi al-Ansari,625
F0796,Iyyas bin Aus bin 'Atik,625
F0797,Izza bint al-Harith,
F0798,Ja'da bint 'Ubayd b. Tha'laba,
F0800,Ja'far ibn Abi Sufyan,671
F0801,Jabbar bin Sakhr bin Umayya,650
F0802,Jabir bin 'Abdullah bin Ri'ab,
F0803,Jabir bin 'Atik,681
F0804,Jabir bin Abi Sa'sa'a,634
F0805,Jabir bin Khalid bin Mas'ud,
F0806,Jabir bin Sufyan bin Ma'mar,646
F0807,Jabir ibn 'Abdullah,687
F0810,Jabla bin Harithah,
F0813,Jahm bin Qays,
F0815,Jalal al-Din Tabrizi,1244
F0817,Jamila bint 'Abdullah ibn Ubayy,
F0818,Jamila bint Abi Sa'sa'a,
F0819,Jamila bint Khuzayma bin Hazma,
F0820,Jamila bint Sa'd ibn ar-Rabi',
F0821,Jamila bint Sayfi bin 'Amr,
F0822,Jamila bint Sinan,
F0823,Jamila bint Thabit ibn Abi al-Aflah,
F0825,Jariyya bint 'Amr bin Mu'mil,
F0827,Jubayr bin Iyas bin Khalid,
F0828,Judhama bint Jandal al-Asadiyya,
F0829,Junadah bin Sufyan bin Ma'mar,646
F0831,Jundub bin Makayth,
F0833,K'ab bin 'Amr bin 'Ubbad,
F0834,"Ka'b bin 'Ajra al-Salmi, al-Ansari",
F0835,Ka'b bin Jimaz bin Tha'laba,
F0836,Ka'b bin Zayd bin Qays bin Malik,627
F0839,Kabsah bint Ma'n bin 'Asim,
F0840,Kabsah bint Thabit bin 'Atik,
F0841,Kabsha bint 'Abd 'Amr bin 'Ubaid,
F0842,Kabsha bint al-Fakih bin Qays,
F0843,Kabsha bint As'ad bin Zurara,
F0844,Kabsha bint Aws bin 'Adi,
F0845,Kabsha bint bint Thabit,
F0846,Kabsha bint Farwa bin 'Amr,
F0847,Kabsha bint Hatib b. Qays,
F0848,Kabsha bint Ka'b bin Malik,
F0849,Kabsha bint Malik bin Qays,
F0850,Kabsha bint Rafi' bin Mu'awiya,
F0851,Kabsha bint Thabit,
F0852,Kabsha bint Waqid bin 'Amr,
F0854,Kathir ibn al-'Abbas,
F0860,Khadij bin Salama bin Aus bin 'Amr,
F0861,Khadija bint al-Husayn ibn al-Harith,
F0865,Khalid bin 'Amr bin 'Adi,
F0866,Khalid bin al-Bukayr,626
F0867,Khalid bin al-Nu'man bin al-Harith,629
F0868,Khalid bin Sa`id ibn al-'As,635
F0869,Khalid bin Thabit bin al-Nu'man,626
F0871,Khalid ibn Ribah,
F0872,Khalida bint 'Amr,
F0874,Khalida bint al-Aswad,
F0875,Khalida bint Anas,
F0876,Khallad bin 'Amr bin al-Jamuh,625
F0877,Khallad bin Rafi' bin Malik,
F0878,Khallad ibn Suwayd b Tha'laba,627
F0879,Khansa bint Khudham al-Ansariyya,
F0880,Khansa' bint R'iab bin al-Nu'man,
F0881,Kharija bin Hudhayfa,
F0882,Kharija ibn Zayd ibn Thabit,720
F0883,Khauliy bin Abi Khauliy,
F0884,Khawaja Ghulam Farid,1901
F0885,Khawla bint 'Ubayd b. Tha'laba,
F0886,Khawla bint 'Uqba b. Rafi,
F0887,Khawla bint al-Yaman,
F0888,Khawla bint As-Samit,
F0889,Khawla bint Khawli,
F0890,Khawla bint Malik b. Bishr,
F0891,Khawla bint Qays bin al-Sakan,
F0892,Khawla bint Qays bin Qahd,
F0894,Khawla bint Thabit,
F0895,Khawlah bint Ghaziyah Mazni,
F0897,Khawwat bin Jubayr,
F0900,Khayra bint Abi Umayya bin al-Harith,
F0901,Khaythama b. al-Harith,625
F0902,Khidr Bey,1459
F0903,Khirash bin al-Simma bin 'Amr,
F0904,Khirniq bint Hussain bin 'Ubayd,
F0905,Khubayb bin 'Adi,626
F0906,Khubayb bin Isaf,650
F0907,Khulayda bin Qays bin al-Nu'man,
F0908,Khulayda bint al-Hubab bin Jaz',
F0909,Khulayda bint Thabit bin Sinan,
F0910,Khultum bint Muhriz bin 'Amir,
F0911,Khunays ibn Hudhaifa,625
F0912,Khuzayma bin Thabit,658
F0913,Khuzayma ibn Mudrikah,115
F0914,Khuziama bin Jahm bin Qays,
F0916,Khwaja Ahrar,1490
F0919,Khwaja Ubaydullah Ahrar,1490
F0923,Lamak ibn Mattushalakh,-1800
F0924,Layla bint 'Ubada b. Dulaim,
F0925,Layla bint al-Khutaym,
F0926,Layla bint Aws bin 'Adi,
F0927,Layla bint bint Thabit,
F0928,Layla bint Nahik bin Asaf,
F0929,Layla bint Qanaf al-Thaqafiyya,
F0930,Layla bint Rafi',
F0931,Layla bint Ri'ab bin Hunayf,
F0932,Layla bint Rib'i bin 'Amir,
F0933,Layla bint Simak,
F0934,Layla bint Tiba' bin Mu'ius,
F0935,Layla/al-Juhdama,
F0936,Liala bint Abi Hathmah,
F0938,Lubaba bint al-Harith al-Kubra,
F0939,Lubaba bint Aslam,
F0940,Lubna bint al-Khutaym,
F0941,Lubna bint bint Thabit,
F0942,Lubna bint Qayzi bin Qays,
F0943,Lumays bint 'Amr bin Haram,
F0944,Lut,-1820
F0945,Ma'ad ibn Adnan,-10
F0946,Ma'bad bin 'Abbad b Qushayr,
F0947,Ma'bad bin Qays b Sakhr,
F0948,Ma'mar bin 'Abdullah,
F0949,Ma'mar bin al-Harith,646
F0950,Ma'mar bin Harith bin Ma'mar,646
F0951,Ma'mar bin Hazm ibn Zayd,
F0953,Ma'mur / 'Amr bin Abu Sarh,
F0954,Ma'n bin 'Adiy bin al-Jadd,634
F0955,Ma'qil bin al-Mundhir bin Sarh,
F0956,Ma'qil bin Maqrn al-Mazni,
F0957,Ma'qil bin Yasar al-Mazni,
F0959,Mahabba bint ar-Rabi' ibn 'Amr,
F0960,Maharab bin Dithar,
F0961,Mahlail ibn Qaynan,-2400
F0962,Mahmiya bin al-Jaza,
F0967,Makhdum Jahaniyan,1384
F0968,Makhul al-Shami,734
F0971,Malik bin 'Amr,634
F0972,Malik bin Abi Khauliy,650
F0973,Malik bin Iyyas al-Ansari,625
F0974,Malik bin Numayla,625
F0975,"Malik bin Rabi'a, Abu Maryum al-Saluli ( ,",
F0977,Malik bin Zama'a b Qays,
F0979,Mandwas bint 'Amr b. Khunays,
F0980,Mandwas bint 'Ubada b. Dulaim,
F0981,Mandwas bint Khallad bin Suwayd,
F0982,Mandwas bint Qubta bin 'Abdu 'Amr,
F0983,Marda bin Maqrn al-Mazni,
F0984,Mardas bin Malik al-Aslami,
F0985,Marthad bin Abi Marthad al-Ghanvi,626
F0987,Mas'ud bin al-Aswad,
F0988,Mas'ud bin Aws bin Zayd,
F0989,Mas'ud bin Khalada,
F0990,Mas'ud bin Rabi'a b 'Amr of al-Qara,
F0991,Mas'ud bin Sa'd,
F0992,Mas'ud bin Sa'd b Qays,626
F0993,Mas'ud bin Zayd bin Subay',
F0995,Mattushalakh ibn Idris,-2000
F0996,Maymuna bin Kardam,
F1002,Mihja bin Salah,624
F1010,Mirza Mazhar Jan-e-Janan,1781
F1012,Mistah bin Uthatha b 'Abbad b al-Mutt,
F1018,Mu'adh bin 'Afra',
F1019,Mu'adh bin 'Amr bin al-Jamuh,650
F1020,Mu'adh bin Ma'is b Qays,626
F1021,Mu'adha bint 'Abdullah bin 'Amr,
F1022,Mu'attib bin 'Auf,
F1023,Mu'attib bin 'Ubaid,625
F1025,Mu'awwidh bin 'Afra',624
